method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.14,0.0023384196683764458,0.0002941240672953427,0.002044295659288764,0.9759702682495117,0.006266720127314329,0.9614778757095337,0.9860825538635254,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.13,0.002064821543172002,0.00025172223104164004,0.0018130992539227009,0.9764134883880615,0.005717441905289888,0.9642096161842346,0.9862105250358582,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.12000000000000001,0.0018130061216652393,0.00021325258421711624,0.0015997535083442926,0.9768263697624207,0.005236223340034485,0.9656872153282166,0.9863295555114746,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.11000000000000001,0.0015823774738237262,0.00017855594342108816,0.0014038215158507228,0.9772085547447205,0.004824995528906584,0.966881275177002,0.9864403009414673,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.1,0.0013726092875003815,0.00014748198736924678,0.001225127256475389,0.9775598049163818,0.004484280478209257,0.9679781198501587,0.9865413308143616,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.09000000000000001,0.0011834678007289767,0.0001198908212245442,0.0010635770158842206,0.977878987789154,0.004212524741888046,0.9689759612083435,0.9866337180137634,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.08000000000000002,0.0010147244902327657,9.565409709466621e-05,0.0009190703858621418,0.9781660437583923,0.004005467053502798,0.9698737263679504,0.986716628074646,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.07,0.000866155547555536,7.46549922041595e-05,0.0007915005553513765,0.9784207940101624,0.0038561855908483267,0.9702637791633606,0.986789882183075,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.06,0.0007377187139354646,5.6788539950503036e-05,0.0006809301557950675,0.9786423444747925,0.003755589947104454,0.9704060554504395,0.9868537783622742,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.05000000000000002,0.0006289350567385554,4.196246663923375e-05,0.0005869725719094276,0.9788306355476379,0.003693293547257781,0.9705267548561096,0.9869074821472168,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.04000000000000001,0.0005396846681833267,3.009719330293592e-05,0.0005095874657854438,0.9789854884147644,0.003658910980448127,0.9706257581710815,0.9869518280029297,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.03,0.000469941645860672,2.1126481442479417e-05,0.000448815175332129,0.9791068434715271,0.003642781637609005,0.9707030653953552,0.9869858026504517,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.020000000000000018,0.00041959702502936125,1.499761583545478e-05,0.00040459941374138,0.9791941046714783,0.0036371047608554363,0.9707584381103516,0.9870103597640991,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.010000000000000009,0.0003884593315888196,1.1671314496197738e-05,0.0003767880261875689,0.979247510433197,0.003635954111814499,0.9707919359207153,0.9870244264602661,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.0,0.0003766962036024779,1.1122245268779807e-05,0.0003655739710666239,0.979266881942749,0.0036358293145895004,0.9708033800125122,0.9870285987854004,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.009999999999999981,0.0003840392455458641,1.3339017641555984e-05,0.00037070023245178163,0.9792519211769104,0.0036354847252368927,0.9707929491996765,0.9870228171348572,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.01999999999999999,0.00041075580520555377,1.8324142729397863e-05,0.0003924316552001983,0.9792032837867737,0.0036360244266688824,0.9707606434822083,0.9870067834854126,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.03,0.00045658915769308805,2.609398688946385e-05,0.0004304951580706984,0.9791201949119568,0.0036409576423466206,0.9707061648368835,0.9869808554649353,0.000816029089037329,43.320770263671875
