method,method_label,papr_db
Learned,Learned Basis,4.3621497
Learned,Learned Basis,5.6670094
Learned,Learned Basis,5.2835207
Learned,Learned Basis,5.5798125
Learned,Learned Basis,5.7452893
Learned,Learned Basis,5.522707
Learned,Learned Basis,4.8107023
Learned,Learned Basis,5.153554
Learned,Learned Basis,7.0920606
Learned,Learned Basis,5.3227305
Learned,Learned Basis,5.8794355
LearnedNonlinear,Learned + Nonlinear RX,6.6385603
LearnedNonlinear,Learned + Nonlinear RX,6.1645885
LearnedNonlinear,Learned + Nonlinear RX,5.166492
LearnedNonlinear,Learned + Nonlinear RX,5.9615636
LearnedNonlinear,Learned + Nonlinear RX,5.530849
LearnedNonlinear,Learned + Nonlinear RX,5.100078
LearnedNonlinear,Learned + Nonlinear RX,6.4346414
LearnedNonlinear,Learned + Nonlinear RX,5.947726
LearnedNonlinear,Learned + Nonlinear RX,5.0698276
LearnedNonlinear,Learned + Nonlinear RX,4.6843
LearnedNonlinear,Learned + Nonlinear RX,5.17545
LearnedNonlinear,Learned + Nonlinear RX,6.7805285
LearnedNonlinear,Learned + Nonlinear RX,6.0231233
LearnedNonlinear,Learned + Nonlinear RX,5.602542
LearnedNonlinear,Learned + Nonlinear RX,5.9866333
LearnedNonlinear,Learned + Nonlinear RX,5.160035
LearnedNonlinear,Learned + Nonlinear RX,7.1481686
LearnedNonlinear,Learned + Nonlinear RX,4.715503
LearnedNonlinear,Learned + Nonlinear RX,5.104166
LearnedNonlinear,Learned + Nonlinear RX,4.56705
LearnedNonlinear,Learned + Nonlinear RX,5.491541
LearnedNonlinear,Learned + Nonlinear RX,5.1169305
LearnedNonlinear,Learned + Nonlinear RX,4.392485
LearnedNonlinear,Learned + Nonlinear RX,6.6454763
LearnedNonlinear,Learned + Nonlinear RX,5.38074
LearnedNonlinear,Learned + Nonlinear RX,5.952521
LearnedNonlinear,Learned + Nonlinear RX,5.083994
LearnedNonlinear,Learned + Nonlinear RX,6.2627645
LearnedNonlinear,Learned + Nonlinear RX,4.4597363
LearnedNonlinear,Learned + Nonlinear RX,4.590332
LearnedNonlinear,Learned + Nonlinear RX,4.323278
LearnedNonlinear,Learned + Nonlinear RX,6.78043
LearnedNonlinear,Learned + Nonlinear RX,5.713186
