method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.12000000000000001,0.0020164810121059418,0.0006922647589817643,0.0013242162531241775,0.9764528870582581,0.006147174630314112,0.9619569778442383,0.9838983416557312,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.11000000000000001,0.0017552778590470552,0.0005845431005582213,0.001170734758488834,0.9768743515014648,0.0055994256399571896,0.9636309146881104,0.9839795231819153,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.1,0.001517022494226694,0.0004861778870690614,0.0010308446362614632,0.9772617220878601,0.005124043207615614,0.9650522470474243,0.9840543270111084,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.09000000000000001,0.001301465556025505,0.0003971428668592125,0.000904322718270123,0.9776140451431274,0.004721917677670717,0.9663419127464294,0.9841216802597046,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.08000000000000002,0.0011085435980930924,0.00031741257407702506,0.0007911310531198978,0.9779310822486877,0.004392182920128107,0.967498242855072,0.9841819405555725,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.07,0.0009381991694681346,0.0002469629980623722,0.0006912361714057624,0.9782123565673828,0.004131528083235025,0.9685201048851013,0.9842351675033569,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.06,0.0007902900688350201,0.00018577436276245862,0.0006045157206244767,0.9784572720527649,0.003933863248676062,0.9694063067436218,0.984281063079834,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.05000000000000002,0.0006646800902672112,0.00013382807082962245,0.0005308520048856735,0.9786654114723206,0.003790987655520439,0.9701557755470276,0.984319269657135,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.04000000000000001,0.0005616015405394137,9.110988321481273e-05,0.00047049165004864335,0.9788368344306946,0.0036930060014128685,0.9707674980163574,0.98444664478302,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.03,0.00048038881504908204,5.760782369179651e-05,0.0004227809840813279,0.9789710640907288,0.0036298639606684446,0.9712409377098083,0.984566867351532,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.020000000000000018,0.00042155905975960195,3.331348125357181e-05,0.0003882455639541149,0.9790676236152649,0.0035922927781939507,0.9715753197669983,0.9846502542495728,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,-0.010000000000000009,0.0003848222258966416,1.8221966456621885e-05,0.0003666002594400197,0.9791269302368164,0.0035728393122553825,0.971770703792572,0.9846966862678528,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.0,0.0003701669629663229,1.233187776961131e-05,0.0003578350879251957,0.9791483283042908,0.00356661225669086,0.971826434135437,0.9847054481506348,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.009999999999999981,0.0003779505204875022,1.564535705256276e-05,0.0003623051743488759,0.9791322946548462,0.0035714947152882814,0.9717428684234619,0.9846770167350769,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.01999999999999999,0.0004075430624652654,2.8168213248136453e-05,0.00037937486195005476,0.9790783524513245,0.003588444320484996,0.971519947052002,0.984611451625824,0.0008220357703976333,42.370025634765625
