method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.05,0.021041700575086805,0.08381958007812502,0.22354429215192795,124109,5898240,,,,,Learned Basis,0.05,12.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.05,0.020688374837239582,0.08246256510416666,0.22281205281615257,122025,5898240,,,,,Learned + Nonlinear RX,0.05,12.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.05,0.007902357313368056,0.031578911675347224,0.20365723315626383,46610,5898240,,,,,Classical OFDM,0.05,14.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.05,0.016379462348090276,0.06540934244791666,0.21022152015939355,96610,5898240,,,,,Learned Basis,0.05,14.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.05,0.015889994303385415,0.06347384982638889,0.20933216391131282,93723,5898240,,,,,Learned + Nonlinear RX,0.05,14.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.05,0.004651557074652778,0.01860215928819444,0.1943902987986803,27436,5898240,,,,,Classical OFDM,0.05,16.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.05,0.013128153483072917,0.05249159071180558,0.2013101656921208,77433,5898240,,,,,Learned Basis,0.05,16.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.05,0.012531534830729166,0.05011189778645834,0.20031228009611368,73914,5898240,,,,,Learned + Nonlinear RX,0.05,16.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.05,0.0028115166558159723,0.011244032118055552,0.1882742685265839,16583,5898240,,,,,Classical OFDM,0.05,18.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.05,0.01096530490451389,0.04385986328125,0.19547683745622635,64676,5898240,,,,,Learned Basis,0.05,18.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.05,0.01020355224609375,0.040812852647569446,0.19440525816753507,60183,5898240,,,,,Learned + Nonlinear RX,0.05,18.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.05,0.0017913818359375,0.007164849175347224,0.18441378651186824,10566,5898240,,,,,Classical OFDM,0.05,20.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.05,0.009338548448350694,0.03735419379340278,0.1916862716898322,55081,5898240,,,,,Learned Basis,0.05,20.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.05,0.008461507161458333,0.03384535047743056,0.19057067716494203,49908,5898240,,,,,Learned + Nonlinear RX,0.05,20.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.19471079508463543,0.6272637261284723,0.611795337870717,1148451,5898240,,,,,Classical OFDM,0.1,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.19459567599826388,0.6241577148437499,0.6142413299530745,1147772,5898240,,,,,Learned Basis,0.1,0.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.1947996351453993,0.6238511827256945,0.6156444270163774,1148975,5898240,,,,,Learned + Nonlinear RX,0.1,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.16702236599392362,0.5727064344618054,0.531267249956727,985138,5898240,,,,,Classical OFDM,0.1,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.1658933851453993,0.5637451171875002,0.5346965231001377,978479,5898240,,,,,Learned Basis,0.1,2.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.1657341851128472,0.5630364312065972,0.5356737095862627,977540,5898240,,,,,Learned + Nonlinear RX,0.1,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.1461700439453125,0.5244723849826389,0.47295050881803036,862146,5898240,,,,,Classical OFDM,0.1,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.14232059054904514,0.5044196234809027,0.47716676723212004,839441,5898240,,,,,Learned Basis,0.1,4.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.1421476576063368,0.5042514377170138,0.4778212998062372,838421,5898240,,,,,Learned + Nonlinear RX,0.1,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.1,0.13076900906032987,0.48342285156250003,0.4323219321668148,771307,5898240,,,,,Classical OFDM,0.1,6.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.1,0.12543962266710068,0.4555352105034722,0.43738974910229445,739873,5898240,,,,,Learned Basis,0.1,6.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.1,0.1251278347439236,0.4555399576822917,0.43776736967265606,738034,5898240,,,,,Learned + Nonlinear RX,0.1,6.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.1,0.120068359375,0.45267266167534725,0.4046544171869755,708192,5898240,,,,,Classical OFDM,0.1,8.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.1,0.11362796359592015,0.4175706651475694,0.4103923663496971,670205,5898240,,,,,Learned Basis,0.1,8.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.1,0.1132778591579861,0.41820339626736114,0.4105995651334524,668140,5898240,,,,,Learned + Nonlinear RX,0.1,8.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.1,0.11243438720703125,0.42913343641493057,0.3860636530444026,663165,5898240,,,,,Classical OFDM,0.1,10.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.1,0.10609605577256945,0.3916992187499999,0.3921232055872679,625780,5898240,,,,,Learned Basis,0.1,10.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.1,0.10567152235243056,0.39274631076388883,0.3922088285908103,623276,5898240,,,,,Learned + Nonlinear RX,0.1,10.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.1,0.1074461195203993,0.4135871039496528,0.3739339476451278,633743,5898240,,,,,Classical OFDM,0.1,12.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.1,0.10180918375651042,0.3767096625434027,0.38012261129915714,600495,5898240,,,,,Learned Basis,0.1,12.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.1,0.1012664794921875,0.37800021701388886,0.3801268246024847,597294,5898240,,,,,Learned + Nonlinear RX,0.1,12.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.1,0.10413581000434027,0.40310872395833325,0.36630241852253675,614218,5898240,,,,,Classical OFDM,0.1,14.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.1,0.0992160373263889,0.36767035590277775,0.37263220082968473,585200,5898240,,,,,Learned Basis,0.1,14.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.1,0.0986543443467882,0.3696987575954861,0.37255483120679855,581887,5898240,,,,,Learned + Nonlinear RX,0.1,14.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.1,0.10167592366536458,0.3947638617621528,0.36094265431165695,599709,5898240,,,,,Classical OFDM,0.1,16.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.1,0.09791344536675348,0.36327514648437503,0.36732534784823656,577517,5898240,,,,,Learned Basis,0.1,16.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.1,0.09709523518880209,0.36525811089409727,0.36722229421138763,572691,5898240,,,,,Learned + Nonlinear RX,0.1,16.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.1,0.1002044677734375,0.39015570746527767,0.35781180113554,591030,5898240,,,,,Classical OFDM,0.1,18.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.1,0.09689754909939235,0.3601542154947917,0.3642953149974346,571525,5898240,,,,,Learned Basis,0.1,18.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.1,0.0960506863064236,0.36249321831597225,0.36417063511908054,566530,5898240,,,,,Learned + Nonlinear RX,0.1,18.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.1,0.09920772976345486,0.3867289225260418,0.35583358630537987,585151,5898240,,,,,Classical OFDM,0.1,20.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.1,0.09643588595920138,0.3592434353298611,0.36229436565190554,568802,5898240,,,,,Learned Basis,0.1,20.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.1,0.09550560845269097,0.3617594401041666,0.3621445409953594,563315,5898240,,,,,Learned + Nonlinear RX,0.1,20.0
