method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08000000000000002,0.06409556070963542,0.2520894368489584,0.3093626145273447,378051,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08000000000000002,0.07099795871310764,0.2748725043402778,0.3152174521237612,418763,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08000000000000002,0.07076043023003473,0.27534518771701394,0.31495995819568634,417362,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08999999999999997,0.08602210150824653,0.3349494086371528,0.34179068356752396,507379,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08999999999999997,0.08711480034722222,0.3302686903211805,0.3476119739934802,513824,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08999999999999997,0.08674096001519097,0.3312567816840278,0.34747180715203285,511619,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10738762749565972,0.41359998914930557,0.3738754130899906,633398,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10170932345920139,0.37630276150173614,0.38003848027437925,599906,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10120290120442708,0.3778143988715278,0.38002832420170307,596919,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.10999999999999999,0.12783983018663195,0.4856845431857639,0.40670495573431253,754030,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.10999999999999999,0.11590169270833334,0.4174546983506944,0.4129550261422992,683616,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.10999999999999999,0.11516265869140625,0.41887139214409735,0.41305558755993843,679257,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.12,0.14676666259765625,0.5491929796006944,0.43950529396533966,865665,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.12,0.12966461181640626,0.4539333767361113,0.4457945330068469,764793,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.12,0.12891438802083333,0.45547010633680557,0.44601484294980764,760368,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.13,0.16405775282118057,0.6042751736111112,0.4722328446805477,967652,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.13,0.14344262017144097,0.48637830946180555,0.4785012109205127,846059,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.13,0.1426671346028646,0.4878350151909723,0.47881023678928614,841485,5898240,,,,,Learned + Nonlinear RX
